Tara,Rata somajului (% din forta de munca),Educatie (%),ISD pe cap de locuitor (USD),Rata inflatiei (% pe an),PIB pe cap de locuitor (USD)
China,-0.3574049277349483,0.6894309511304065,-0.14874611228711604,-0.2840882273496144,-0.3948354372291439
Cote d'Ivoire,-0.8285820343752474,-1.4266379355225502,-0.14262776495873264,-0.13301067567355604,-0.8084265817363268
Cameroon,-0.5747284026767946,-1.2617355500117562,-0.14767137986390835,-0.08240302522709704,-0.8435422715578232
"Congo, Rep.",2.763756431757493,-1.4652377424691339,-0.14399988427345292,-0.14979418500753017,-0.8180335751031681
Cyprus,-0.1446219242543751,1.407039489431718,-2.2919381263716905,-0.21014320701075961,0.5974130894189355
Czechia,-0.783590089895359,0.3606147181091568,-0.0803550298232389,-0.1804604420884054,0.32947563687268155
Germany,-0.5978435301160032,0.7451317422003809,-0.11657631100795056,-0.1888179325360803,1.2790668199871549
Denmark,-0.1477177002506978,0.830550110976042,0.02972706870662302,-0.23014866748606397,1.8626856400693848
Dominican Republic,-0.1712455978227495,0.06647555377774539,-0.12687614221255253,-0.13994184814753408,-0.48977280531578754
Algeria,1.0575710876508997,-0.03794874939766468,-0.14799338837273635,-0.10517396726932755,-0.6901170491703298
Ecuador,-0.31571514431780406,0.39810024620721435,-0.14811174477850206,-0.22196360574364063,-0.6462475258526058
"Egypt, Arab Rep.",0.1847686417543492,-0.5839576263124236,-0.12641367977973897,1.0270413866562078,-0.7845471982788284
Spain,1.0507603804589902,1.2355807451554477,-0.09890713196653952,-0.16462234631888847,0.4664936360253808
Estonia,0.31479123359989825,0.38944235151022344,-0.2942537559344157,-0.12973756757442437,0.3140292869055039
Finland,0.4039495822939889,1.702195718988537,-0.05962976369758071,-0.22110530454175018,1.1635392169244128
Fiji,-0.4118905852702259,0.6289394727909381,-0.1368171268981543,-0.08342804383120982,-0.6638062167177604
France,0.22026687317884824,0.48132998477251365,-0.10563385764219137,-0.20085069646991682,0.887948147883685
United Kingdom,-0.4523420582888413,0.8068290631063822,-0.2001265219889693,-0.1413748709443016,1.1673171948240553
Georgia,1.0685094961712398,0.7344539299533542,-0.12447250409843201,-0.24241672222317265,-0.5536841265633651
Ghana,-0.6801911716181843,-1.0856411376564792,-0.14654393246542655,0.7736130676216946,-0.8216111645291564
"Gambia, The",0.039886325126451704,-1.3649360544470932,-0.14464272730910538,0.24606290739668144,-0.8810351384403786
Greece,0.7905088117014704,3.5486547467311236,-0.11206720273502309,-0.1661501249970882,0.04799953086695253
Guatemala,-0.8428226039583315,-0.9171723979528967,-0.1437059679704562,-0.1601471704836752,-0.674589277602135
Guyana,0.7971131338269585,-0.9451467731962293,0.45044215738603915,-0.15855690581206858,0.24546631058455834
"Hong Kong SAR, China",-0.7243575758323867,2.089723494754684,0.7491728119559747,-0.21343869083389558,1.1997124416608282
Croatia,-0.22015885856464654,0.8288230290189298,-0.07978458560132082,-0.15537623429037456,0.025483959901127954
Hungary,-0.38567968183469464,0.03217606536906133,-0.525300493978271,-0.12117773265764074,-0.0041653487729205975
Indonesia,-0.619720347156683,-0.347307869266574,-0.1445651316525216,-0.19232263708816993,-0.7224823788933669
India,-0.43356101724448415,-0.6863422761543201,-0.14842629519395037,-0.06278585292084646,-0.8097232795246064
Iceland,-0.6595526649760336,0.6779045948125675,0.254046594800792,-0.020543467635863906,2.4498750189712037
Israel,-0.6506781071199089,0.007637335662618291,-0.06390164191732904,-0.15057132505854257,1.2037012646180099
Italy,0.09808691385731634,0.6594209117702288,-0.1231386300730203,-0.24836861428400706,0.6643310505805715
Jordan,2.4133145889737753,-0.6377388948484828,-0.14133166017733678,-0.22153029523030135,-0.7345020283608353
Japan,-0.7718261411093331,0.3010870038628586,-0.14150286747127594,-0.1662881737585311,0.3554352370183772
Kazakhstan,-0.3113810579229524,-0.06944254988461832,-0.14395432343041886,0.11885876914598384,-0.36153445306995147
Kenya,-0.1792946154131882,-1.4640263011952994,-0.14903256898036235,-0.08443731581803822,-0.8317145855143756
Cambodia,-1.2450670984138474,-1.1067710180466797,-0.13511145034015892,-0.25651658193187976,-0.8123380555863443
"Korea, Rep.",-0.7633643533860514,1.6561422620861852,-0.1325075672537705,-0.18576847319696066,0.5021563251949673
Lao PDR,-1.0494140554462594,-1.3193253056521432,-0.14215647205292528,0.7868046072061563,-0.8320452716163412
St. Lucia,0.9545849395065683,-1.3142874784549488,-0.09185308092613144,-0.2994377317242322,-0.3604785855814035
Sri Lanka,-0.26969127450580793,-1.1295339303418541,-0.14750037438987187,-0.3143508836577519,-0.7385118319884943
Lithuania,0.24792247207933,0.6936639085806435,-0.05548005385543804,-0.2608308333200387,0.23407667854823969
Luxembourg,-0.07589569713601357,-1.1037436160663976,8.895941845878617,-0.19841640284809722,4.473436861501954
Latvia,0.08611658000486899,0.9765364978443646,-0.10262928285029971,-0.23512171927009712,0.0004009836999980164
Morocco,0.5449105826598778,-0.24028959796190633,-0.1470202511480087,-0.24823384062864018,-0.7526840189645058
Moldova,-1.0048348810992138,0.6192819664610498,-0.13848256006764167,-0.07565297505084799,-0.6188127145067679
Mexico,-0.7412811512789502,-0.26327287470248784,-0.12949038753514389,-0.07357214367562012,-0.36031624743728285
North Macedonia,1.4682773698296976,-0.01915913449233018,-0.1160355013172038,-0.13117803249391216,-0.5517143696467929
Malta,-0.7429322318103223,0.8076792542560937,4.1760980317011045,-0.2171275960207554,0.8017313942959577
Montenegro,1.6092383701955864,-0.013776898334029312,-0.09396001710061615,-0.13832858963541816,-0.39639277161261055
Mongolia,-0.18135846607740322,0.435654278594657,-0.10390054316555221,-0.004171231618094044,-0.6511000406279696
Mauritius,-0.17062644262348495,-0.3182802617578524,-0.11790921488892889,-0.12581333377285553,-0.4461612832500214
